ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;02.02.2026;Neuvedeno
64609995;1810664,0;MERIT GROUP a.s.;změna smlouvy CES 6845;02.02.2026;1 810 664 CZK bez DPH
04767543;2000000,0;Národní agentura pro komunikační a informační technologie, s. p.;Poskytnutí odborných zdrojů / kapacit při vytváření byznys analýzy a byznys architektury budoucích systémů Digitalizace stavebního řízení;02.02.2026;2 000 000 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;30.01.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;30.01.2026;Neuvedeno
25842811;28563635,0;ABAS IPS Management s.r.o.;zajištění bezpečnostních služeb;30.01.2026;28 563 635 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;29.01.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;29.01.2026;Neuvedeno
47114983;120000,0;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;29.01.2026;120 000 CZK s DPH
66002222;120000,0;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;29.01.2026;120 000 CZK s DPH
24840645;1068624,0;zabezpečovací systémy, s.r.o.;Smlouva o poskytováníá služeb;29.01.2026;1 068 624 CZK bez DPH
73894834;500000,0;Richard Berkus;dodatek č. 1 ke smlouvě o poskytování služeb v oblasti vizuální komunikace;28.01.2026;500 000 CZK bez DPH
24298557;1800398,0;OMNILINK Services a.s.;Smlouva o dílo k VZ Nákup serverové technologie vč. podpory 2025_IV;28.01.2026;1 800 398 CZK bez DPH
;1708926,0;Gmina Miejska Kłodzko;Pevnosti bez hranic II;28.01.2026;1 708 926 EUR
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;27.01.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;27.01.2026;Neuvedeno
